Its a Ray
-0.134344 0.0952536 0.0520958 -0.127652 0.07399 0.1088
Its a Segment
-0.134344 0.0952536 0.0520958 0.16673 0.019964 -0.612901
-0.0804236 0.104574 -0.00559216 
-0.0801061 0.109977 -0.00253557 
-0.0790938 0.10996 -0.003593 
-0.0771859 0.109877 -0.00559641 
-0.0782331 0.109897 -0.00456592 
-0.0778811 0.104813 -0.00803583 
-0.0768529 0.106269 -0.00826114 
-0.0778694 0.106226 -0.00738941 
-0.0801842 0.0990978 -0.00757647 
-0.0805618 0.101855 -0.00659893 
-0.079699 0.101798 -0.00757602 
-0.0805557 0.0977534 -0.00758611 
-0.0799546 0.100457 -0.00758867 
-0.0408461 0.0957242 -0.0225993 
-0.0418419 0.09571 -0.0225712 
-0.0428426 0.0956907 -0.0224311 
-0.041838 0.0942787 -0.0228038 
-0.0428369 0.0942645 -0.0226678 
-0.0408343 0.0942887 -0.0229156 
-0.0398433 0.0971287 -0.022179 
-0.0378518 0.0985762 -0.0221892 
-0.0388567 0.0985732 -0.0220835 
-0.0398457 0.0985451 -0.0219087 
-0.0368547 0.100015 -0.0221726 
-0.0378631 0.100009 -0.0219618 
-0.0388617 0.099995 -0.0218283 
-0.0398566 0.099981 -0.0216989 
-0.033869 0.10148 -0.022225 
-0.0348704 0.101474 -0.022105 
-0.0358626 0.101452 -0.0219425 
-0.0368559 0.101427 -0.0217814 
-0.0378618 0.101418 -0.0215553 
-0.038857 0.101401 -0.0214118 
-0.0398612 0.101404 -0.0212384 
-0.0288792 0.104408 -0.0227314 
-0.0253936 0.106122 -0.0223873 
-0.0298717 0.104385 -0.0225787 
-0.0248685 0.10443 -0.0231858 
-0.0248813 0.105869 -0.0225199 
-0.0258745 0.104437 -0.023108 
-0.0278708 0.104417 -0.0229648 
-0.0268762 0.104433 -0.0231038 
-0.0265042 0.106069 -0.02235 
-0.0258791 0.105846 -0.022482 
-0.0268752 0.105825 -0.0224483 
-0.0278864 0.105837 -0.0222471 
-0.0248668 0.103031 -0.023615 
-0.0258635 0.103016 -0.0235702 
-0.0268707 0.103016 -0.0234914 
-0.0278697 0.103003 -0.0233536 
-0.0288694 0.102979 -0.023086 
-0.0298632 0.102958 -0.0228236 
-0.0308593 0.102934 -0.0225503 
-0.0318582 0.102916 -0.0222908 
-0.0238697 0.104438 -0.0232028 
-0.0228778 0.10587 -0.0225138 
-0.0238738 0.105835 -0.0226784 
-0.024291 0.106203 -0.0224613 
-0.023274 0.106158 -0.0224283 
-0.023866 0.103031 -0.0237009 
-0.022965 0.108799 -0.0212234 
-0.0241067 0.108647 -0.0210644 
-0.0218071 0.110009 -0.0205036 
-0.0240104 0.109837 -0.0203148 
-0.0229027 0.109901 -0.0203838 
-0.0230123 0.107366 -0.0218426 
-0.0242006 0.107431 -0.0217757 
-0.0408255 0.0914222 -0.0231618 
-0.0438179 0.0928034 -0.0224841 
-0.0428329 0.0928281 -0.0227901 
-0.0418435 0.0928469 -0.022966 
-0.0438412 0.0942345 -0.0223045 
-0.0408247 0.092859 -0.0231395 
-0.041821 0.0914074 -0.0230213 
-0.0438294 0.0913555 -0.0224139 
-0.0428236 0.0913841 -0.0227682 
-0.0408143 0.0899706 -0.0230035 
-0.0418104 0.0899475 -0.0227382 
-0.0429194 0.0898997 -0.0223492 
-0.0387964 0.0870429 -0.0222174 
-0.0398029 0.0870085 -0.0218621 
-0.0407936 0.0869784 -0.0214607 
-0.0357662 0.0798799 -0.0213145 
-0.0367613 0.0798086 -0.0204262 
-0.0377622 0.0797629 -0.0199128 
-0.0387577 0.0797624 -0.0199123 
-0.0397582 0.079747 -0.0196231 
-0.040758 0.0797297 -0.0196637 
-0.0357746 0.08137 -0.0222094 
-0.0367737 0.0813353 -0.0218258 
-0.0377668 0.0812615 -0.0209367 
-0.0387676 0.0812185 -0.0204237 
-0.0397664 0.0812015 -0.0202928 
-0.0407686 0.0811968 -0.0203079 
-0.037778 0.0827556 -0.0219531 
-0.0387777 0.0827042 -0.0213153 
-0.0397746 0.0826803 -0.0210594 
-0.0407693 0.0826515 -0.0208197 
-0.0378081 0.0841771 -0.022143 
-0.0387822 0.0841715 -0.021953 
-0.0397846 0.0841362 -0.0215764 
-0.040789 0.084093 -0.0212481 
-0.0377888 0.0855996 -0.0220857 
-0.0387912 0.0855771 -0.0218281 
-0.0397898 0.0855606 -0.0217035 
-0.040787 0.0855384 -0.021437 
-0.0327803 0.0793117 -0.0285199 
-0.0327877 0.082138 -0.0285334 
-0.0326786 0.0835446 -0.0285522 
-0.0320496 0.0849187 -0.0285721 
-0.0324125 0.0849398 -0.0275574 
-0.0326967 0.0849828 -0.026556 
-0.0313945 0.0862693 -0.0285563 
-0.0317716 0.0863018 -0.027557 
-0.0342918 0.0780403 -0.0245107 
-0.0345153 0.0780634 -0.0235017 
-0.0346424 0.0780819 -0.0225024 
-0.0888783 0.111909 0.0103621 
-0.0890965 0.111935 0.0113594 
-0.0907186 0.113289 0.0113419 
-0.0903031 0.113239 0.0103302 
-0.0899231 0.113261 0.00935255 
-0.0893947 0.113204 0.00833335 
-0.0860777 0.110355 0.00735249 
-0.0873616 0.110481 0.0113565 
-0.0868685 0.11045 0.00936714 
-0.0884724 0.111842 0.0093465 
-0.0874242 0.111776 0.00733879 
-0.0871174 0.110466 0.0103621 
-0.0869607 0.111738 0.00633151 
-0.0856264 0.110331 0.00634317 
-0.0880049 0.11182 0.00834875 
-0.0865451 0.110395 0.00835385 
-0.0875349 0.110472 0.0163392 
-0.0875459 0.110452 0.0143395 
-0.0875442 0.11045 0.0133403 
-0.0871678 0.11039 0.0183619 
-0.0874426 0.110454 0.0173412 
-0.0874054 0.110457 0.012344 
-0.0876151 0.1105 0.015342 
-0.0858985 0.111778 0.0253403 
-0.0853172 0.110382 0.0233555 
-0.08595 0.110378 0.0213654 
-0.0866142 0.111799 0.023338 
-0.0881465 0.111869 0.0203319 
-0.0869096 0.111745 0.0223587 
-0.08743 0.111796 0.0214228 
-0.0863242 0.111849 0.0243217 
-0.0886572 0.111878 0.019323 
-0.0885594 0.112819 0.0222051 
-0.0846054 0.11036 0.02536 
-0.0849555 0.110375 0.0243559 
-0.0856634 0.1104 0.0223511 
-0.0863235 0.110381 0.0203696 
-0.0867708 0.110409 0.0193573 
-0.0869233 0.112018 0.0232463 
-0.0864944 0.112209 0.0250023 
-0.0884146 0.113764 0.0250911 
-0.0882187 0.112165 0.0210064 
-0.0870678 0.11107 0.0203515 
-0.08807 0.113074 0.0239452 
-0.0876394 0.113262 0.0257017 
-0.087269 0.112677 0.0244432 
